C:\Project car\DATA\IMG\center_2020_10_20_13_13_33_258.jpg, C:\Project car\DATA\IMG\left_2020_10_20_13_13_33_258.jpg, C:\Project car\DATA\IMG\right_2020_10_20_13_13_33_258.jpg, 0, 0, 0, 7.855961E-05
C:\Project car\DATA\IMG\center_2020_10_20_13_13_33_362.jpg, C:\Project car\DATA\IMG\left_2020_10_20_13_13_33_362.jpg, C:\Project car\DATA\IMG\right_2020_10_20_13_13_33_362.jpg, 0, 0, 0, 7.854222E-05
C:\Project car\DATA\IMG\center_2020_10_20_13_13_33_461.jpg, C:\Project car\DATA\IMG\left_2020_10_20_13_13_33_461.jpg, C:\Project car\DATA\IMG\right_2020_10_20_13_13_33_461.jpg, 0, 0, 0, 7.892602E-05
C:\Project car\DATA\IMG\center_2020_10_20_13_13_33_564.jpg, C:\Project car\DATA\IMG\left_2020_10_20_13_13_33_564.jpg, C:\Project car\DATA\IMG\right_2020_10_20_13_13_33_564.jpg, 0, 0, 0, 7.820074E-05
C:\Project car\DATA\IMG\center_2020_10_20_13_13_33_669.jpg, C:\Project car\DATA\IMG\left_2020_10_20_13_13_33_669.jpg, C:\Project car\DATA\IMG\right_2020_10_20_13_13_33_669.jpg, 0, 0, 0, 8.049948E-05
C:\Project car\DATA\IMG\center_2020_10_20_13_13_33_771.jpg, C:\Project car\DATA\IMG\left_2020_10_20_13_13_33_771.jpg, C:\Project car\DATA\IMG\right_2020_10_20_13_13_33_771.jpg, 0, 0, 0, 7.833893E-05
C:\Project car\DATA\IMG\center_2020_10_20_13_13_33_875.jpg, C:\Project car\DATA\IMG\left_2020_10_20_13_13_33_875.jpg, C:\Project car\DATA\IMG\right_2020_10_20_13_13_33_875.jpg, 0, 0, 0, 7.785987E-05
C:\Project car\DATA\IMG\center_2020_10_20_13_13_33_979.jpg, C:\Project car\DATA\IMG\left_2020_10_20_13_13_33_979.jpg, C:\Project car\DATA\IMG\right_2020_10_20_13_13_33_979.jpg, 0, 0, 0, 7.822604E-05
C:\Project car\DATA\IMG\center_2020_10_20_13_13_34_083.jpg, C:\Project car\DATA\IMG\left_2020_10_20_13_13_34_083.jpg, C:\Project car\DATA\IMG\right_2020_10_20_13_13_34_083.jpg, 0, 0, 0, 8.10659E-05
C:\Project car\DATA\IMG\center_2020_10_20_13_13_34_185.jpg, C:\Project car\DATA\IMG\left_2020_10_20_13_13_34_185.jpg, C:\Project car\DATA\IMG\right_2020_10_20_13_13_34_185.jpg, 0, 0, 0, 7.876154E-05
